500 499
267 269 10
267 270 9
270 271 4
270 272 2
273 274 2
274 275 1
275 276 8
275 277 2
277 278 10
277 280 7
277 282 7
278 279 6
280 281 8
282 283 1
282 284 5
282 285 3
285 286 5
286 287 4
286 288 6
288 289 5
288 293 1
288 299 5
289 290 10
289 291 1
289 292 6
293 294 6
293 297 6
294 295 8
294 296 9
297 298 2
299 300 5
300 301 8
301 302 9
301 303 7
303 304 10
303 307 4
304 305 2
304 306 7
308 309 2
308 310 5
308 313 7
310 311 1
311 312 8
313 314 2
313 317 3
313 320 8
314 315 10
315 316 10
317 318 10
318 319 2
320 321 2
320 322 8
320 323 4
323 324 9
323 325 4
323 327 5
323 329 4
325 326 1
327 328 1
329 330 5
331 332 8
332 333 4
332 345 8
333 334 10
334 335 4
334 338 4
335 336 9
336 337 6
338 339 4
338 340 4
338 341 4
338 342 6
338 343 7
338 344 10
345 346 6
345 347 6
347 348 6
347 356 4
347 358 5
348 349 5
348 350 6
348 354 2
350 351 9
351 352 3
351 353 3
354 355 5
356 357 1
358 359 1
358 360 1
360 361 7
360 362 4
362 363 10
362 373 10
363 364 4
364 365 8
364 371 6
364 372 6
365 366 5
365 368 5
366 367 9
368 369 6
368 370 8
373 374 8
373 375 3
375 376 6
375 381 6
375 414 3
376 377 3
376 378 8
378 379 1
378 380 8
381 382 3
382 383 8
382 386 9
383 384 6
383 385 6
386 387 9
387 388 6
387 389 1
387 398 5
389 390 10
390 391 10
391 392 2
391 393 7
393 394 8
394 395 7
395 396 10
396 397 4
398 399 7
399 400 6
400 401 2
400 402 6
400 411 3
402 403 9
402 408 8
403 404 8
404 405 10
405 406 3
405 407 4
408 409 5
409 410 6
411 412 5
412 413 7
414 415 10
414 435 7
414 449 3
415 416 3
415 417 8
415 418 3
415 419 8
415 432 8
419 420 2
420 421 10
420 422 5
420 423 3
420 424 8
424 425 10
425 426 2
425 429 5
426 427 10
426 428 4
429 430 1
429 431 8
432 433 10
433 434 4
435 436 1
435 439 1
436 437 3
437 438 5
439 440 6
440 441 7
440 443 6
440 446 9
441 442 6
443 444 7
444 445 3
446 447 9
446 448 8
449 450 10
449 451 3
449 457 8
451 452 1
451 453 8
453 454 3
453 455 3
455 456 4
457 458 10
458 459 6
458 460 2
460 461 4
460 462 3
460 463 6
460 465 7
460 466 6
460 468 4
460 493 6
463 464 9
466 467 10
468 469 9
468 471 3
469 470 3
471 472 6
472 473 1
472 482 8
472 487 5
473 474 8
473 475 6
473 479 1
475 476 10
476 477 5
477 478 1
479 480 1
480 481 9
482 483 7
483 484 7
483 485 6
483 486 1
487 488 2
487 489 3
487 491 8
487 492 2
489 490 9
493 494 4
494 495 10
495 496 7
495 498 6
496 497 1
