100 528
33 26 10
33 2 6
34 39 2
34 52 6
34 82 7
34 53 7
35 54 8
35 47 5
35 6 2
35 85 8
35 25 8
35 18 6
36 88 7
36 84 3
36 22 6
37 83 4
38 21 10
38 60 10
38 15 10
39 71 4
39 55 1
39 28 2
39 89 3
39 25 3
39 87 7
39 96 2
39 61 6
39 63 8
39 77 4
40 3 7
40 77 2
40 15 8
40 56 8
40 71 1
41 43 7
41 99 9
41 91 10
41 35 5
41 39 2
41 33 10
41 51 3
42 98 3
42 87 9
42 45 4
42 17 7
43 62 8
43 19 6
43 42 8
44 17 6
44 99 5
45 14 6
45 32 6
45 75 4
45 37 9
45 92 6
45 10 4
45 29 7
46 43 5
46 16 10
46 34 2
46 71 8
46 42 9
47 55 10
47 80 2
48 23 7
48 94 1
48 56 7
48 22 6
48 82 8
48 39 2
48 74 4
48 1 9
49 99 10
49 96 6
49 52 9
49 76 5
49 58 4
49 73 10
49 71 10
49 24 10
49 88 9
49 22 8
49 82 7
49 46 4
50 10 1
50 77 2
50 25 6
51 81 1
51 8 4
51 17 4
51 45 9
51 25 4
51 95 5
51 6 9
52 40 3
52 17 4
53 81 1
53 76 5
53 97 9
53 16 10
53 50 2
54 35 7
54 86 9
54 29 9
55 7 1
55 12 2
55 50 8
55 25 4
56 86 7
56 15 7
56 67 9
56 91 1
56 55 10
56 66 5
56 82 2
56 94 10
56 27 3
57 6 6
58 80 2
58 64 6
58 92 2
58 72 8
58 42 5
58 83 10
58 53 1
59 95 7
59 37 10
59 45 1
59 92 7
60 21 5
60 92 10
60 80 4
60 19 9
60 1 5
60 4 5
60 5 5
61 41 3
61 43 5
61 78 5
62 11 10
62 83 3
62 29 2
62 19 1
62 66 5
62 38 6
62 53 10
63 95 3
63 35 3
63 3 2
64 93 4
64 18 6
64 49 1
64 21 1
64 13 9
64 34 5
65 45 3
65 39 8
65 53 4
65 24 5
66 6 2
66 65 6
66 97 10
66 1 5
66 55 10
66 0 8
66 2 10
66 25 5
67 63 2
67 6 7
67 30 4
67 50 9
67 24 2
67 41 4
67 86 8
68 67 1
68 77 10
68 20 4
68 48 6
69 59 1
69 20 3
69 14 9
69 53 10
69 49 9
69 51 10
70 82 9
70 15 6
70 74 8
70 30 9
70 63 7
70 7 10
71 25 4
71 78 8
71 65 6
71 58 10
71 66 4
71 15 5
71 87 6
71 77 4
71 69 5
71 30 5
72 81 6
72 48 2
72 58 3
72 37 7
72 41 2
72 35 4
73 42 6
73 16 8
73 37 3
73 18 10
73 46 3
74 96 9
74 79 8
74 91 1
75 1 8
75 90 10
75 42 6
75 3 8
76 48 3
76 2 10
76 4 5
76 67 2
76 38 3
76 94 10
77 19 1
77 52 4
77 74 6
77 88 1
77 25 9
78 81 4
78 24 10
78 91 3
78 35 9
78 85 3
79 44 3
79 63 9
79 99 9
79 81 4
79 14 5
79 19 8
80 94 10
80 21 2
80 98 3
80 19 8
80 13 7
80 67 7
80 75 3
81 38 8
81 19 2
81 44 2
81 88 10
81 64 1
81 52 9
81 14 6
81 20 6
82 18 10
82 70 5
82 99 1
82 76 9
82 50 6
82 40 6
82 26 6
82 21 3
82 61 4
83 41 4
83 56 7
83 24 5
84 37 1
84 28 2
84 25 1
84 94 4
85 57 7
85 96 10
85 64 5
85 99 4
85 8 2
85 16 5
86 68 4
86 99 3
86 66 3
86 98 4
86 81 8
86 7 10
87 85 1
87 16 2
87 32 2
87 15 4
88 4 3
88 7 2
88 89 6
88 23 9
88 73 10
89 33 3
89 71 7
89 58 8
89 91 10
89 44 10
89 6 4
90 53 9
90 37 6
91 72 2
91 1 1
91 82 8
91 11 2
92 41 5
92 23 7
92 38 3
93 35 3
93 43 6
93 8 9
93 7 3
94 41 9
94 80 1
94 93 5
94 46 4
94 33 8
94 24 2
94 23 6
95 19 6
95 10 10
95 58 4
95 86 7
95 40 7
96 33 6
96 3 6
96 14 8
96 65 6
96 60 2
96 10 10
97 95 3
97 73 7
97 65 7
97 33 10
97 56 9
97 24 10
97 77 1
97 32 7
98 49 5
98 91 3
98 63 8
99 52 10
99 76 9
99 65 5
99 17 3
